mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
0.3728675365447998,0.016473790133609768,0.008829164505004882,0.007409813242907387,0.8,0.01,5,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-1674924032.0,-1175959040.0,-1700433664.0,-847047360.0,-871118848.0,-1253896588.8,372767708.578884,58,-540204032.0,-545232064.0,-553398976.0,-566998272.0,-586205760.0,-558407820.8,16592698.971202465,0.7538062334060669,0.777283251285553,0.7666486501693726,0.8417929410934448,0.82662034034729,0.7932302832603455,0.03460743966717245,58,0.9061152935028076,0.9109733700752258,0.9016610383987427,0.9072551131248474,0.9054330587387085,0.9062875747680664,0.0030019169005121964
0.3995349407196045,0.02525712290283045,0.004889726638793945,0.00047926712766359326,0.8,0.01,5,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-1786811648.0,-1236829440.0,-1575599104.0,-880308352.0,-864493184.0,-1268808345.6,368204735.4576421,59,-512864096.0,-515618592.0,-516029824.0,-530656896.0,-537030720.0,-522440025.6,9588810.049850766,0.7373600602149963,0.7657548785209656,0.7837797403335571,0.835580587387085,0.8279390335083008,0.790082859992981,0.037187112519321525,60,0.9108668565750122,0.9158087372779846,0.9083015322685242,0.9131995439529419,0.9133660197257996,0.9123085379600525,0.0025415780317518065
0.21328630447387695,0.03470541237633153,0.004493808746337891,0.00044874459667686585,0.8,0.01,5,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",-2296486656.0,-1540350080.0,-2678467584.0,-1600089856.0,-1538067456.0,-1930692326.4,470912450.26269114,78,-1480729088.0,-1535522816.0,-1459813760.0,-1564291712.0,-1609891328.0,-1530049740.8,54667661.340097226,0.6624439358711243,0.7082706689834595,0.6324325799942017,0.7011436223983765,0.6938768625259399,0.6796335339546203,0.02831626441942666,78,0.7426568269729614,0.7492766380310059,0.7405912280082703,0.7441260814666748,0.7402917742729187,0.7433885097503662,0.0032607969005954054
0.21468076705932618,0.06003013779954566,0.009821033477783203,0.006196867005353774,0.8,0.01,5,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",-2334161152.0,-1580251264.0,-2672736768.0,-1563789056.0,-1560170496.0,-1942221747.2,470630594.7704217,80,-1434209152.0,-1481251968.0,-1416332288.0,-1514891008.0,-1534076160.0,-1476152115.2,45209576.791158706,0.656906247138977,0.7007136940956116,0.6332190036773682,0.7079236507415771,0.6894776821136475,0.6776480555534363,0.02825858693146916,80,0.750741720199585,0.7581380605697632,0.7483178377151489,0.7522066235542297,0.7525222897529602,0.7523853063583374,0.0032369908753818667
0.37384819984436035,0.08568187293486344,0.00628194808959961,0.0009719208002125637,0.8,0.01,5,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-1343163264.0,-1143869568.0,-1603293568.0,-832192384.0,-864568896.0,-1157417536.0,291555203.78223974,49,-571060544.0,-569088704.0,-582821376.0,-606376704.0,-617465600.0,-589362585.6,19328952.729963966,0.8025710582733154,0.7833607196807861,0.7799792289733887,0.8445674777030945,0.8279239535331726,0.8076804876327515,0.02512116661717973,49,0.900752604007721,0.9070780277252197,0.8964326977729797,0.9008139371871948,0.9003902077674866,0.9010934948921203,0.0034125250153327633
0.4119424819946289,0.05463567344618092,0.012047147750854493,0.012851941232009318,0.8,0.01,5,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-1446856576.0,-1255955456.0,-1645391616.0,-840316672.0,-871139136.0,-1211931891.2,315991325.18081635,54,-532651776.0,-535147808.0,-542353536.0,-555694016.0,-560852928.0,-545340012.8,11150312.602998689,0.787329375743866,0.7621325850486755,0.7742021083831787,0.8430500626564026,0.8266162872314453,0.7986660838127136,0.031025328442234566,55,0.9074278473854065,0.912619948387146,0.9036238193511963,0.9091041684150696,0.9095230102539062,0.9084597587585449,0.0029429269894881917
0.49773097038269043,0.047277401737967115,0.005657768249511719,0.0005580712241530574,0.8,0.01,7,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-2559622144.0,-1473902848.0,-2684803328.0,-1550435456.0,-1502002432.0,-1954153241.6,547450634.5077053,81,-1286036480.0,-1371490944.0,-1291166848.0,-1374011904.0,-1416065408.0,-1347754316.8,50853763.95468581,0.6237661838531494,0.720855176448822,0.6315630674362183,0.7104177474975586,0.7010549306869507,0.6775314211845398,0.04126888420955272,81,0.7764934301376343,0.7760601043701172,0.7705597877502441,0.7752504944801331,0.7715598344802856,0.7739847302436829,0.0024418543188145046
0.5864840984344483,0.03040187498539356,0.006808948516845703,0.0015979854850886415,0.8,0.01,7,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-2583069184.0,-1514756736.0,-2670728192.0,-1615439744.0,-1559199104.0,-1988638592.0,522848662.34539884,83,-1222131456.0,-1293864960.0,-1216485376.0,-1291308544.0,-1316454912.0,-1268049049.6,40786837.73315674,0.6203197240829468,0.7131178379058838,0.6334946155548096,0.6982766389846802,0.6896710395812988,0.6709759712219239,0.036991016113950156,83,0.7875998020172119,0.788735032081604,0.7838306427001953,0.7887784242630005,0.7876290082931519,0.7873145818710328,0.00181540959576853
0.7868177890777588,0.0695226898644297,0.008526992797851563,0.0016698979391302667,0.8,0.01,7,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-1676109440.0,-1129861888.0,-1631126912.0,-814558912.0,-847736256.0,-1219878681.6,370984834.0855578,56,-383498304.0,-406845600.0,-409745504.0,-416503424.0,-431561792.0,-409630924.8,15613322.605449468,0.7536319494247437,0.786013662815094,0.7761596441268921,0.8478609323501587,0.831274151802063,0.7989880681037903,0.035149957882500964,54,0.9333499670028687,0.9335694313049316,0.9271882772445679,0.9318718314170837,0.9303802847862244,0.9312719583511353,0.0023421307714067328
0.7833504199981689,0.16116034100143992,0.009799861907958984,0.003305510532045276,0.8,0.01,7,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-1798940544.0,-1250165376.0,-1567894656.0,-907674304.0,-875701248.0,-1280075225.6,361982486.4342978,61,-340439648.0,-357613056.0,-354589408.0,-358040768.0,-367767008.0,-355689977.6,8818876.523377378,0.7355772256851196,0.7632291316986084,0.784837007522583,0.8304693698883057,0.825708270072937,0.7879642009735107,0.036324378335871786,62,0.940833330154419,0.941608190536499,0.9369894862174988,0.9414346218109131,0.9406716823577881,0.9403074622154236,0.0016959092571906162
